"lane.1","lane.2","lane.3","lane.4"
430,432,468,556
27,14,19,26
17,23,14,20
42,41,32,49
17,34,20,29
26,28,28,44
27,34,37,37
42,34,26,48
40,27,27,42
30,20,19,26
145,125,126,152
21,16,27,19
20,25,24,17
46,48,50,53
20,33,32,50
27,25,24,35
18,20,16,19
33,29,35,31
39,16,29,30
23,28,24,32
60,67,49,67
18,21,20,28
13,9,20,34
21,25,36,42
26,28,21,29
22,23,19,31
18,14,34,23
32,31,32,32
33,25,38,41
17,31,24,20
24,28,33,47
19,24,17,23
22,22,23,37
20,24,21,40
35,28,27,31
31,30,27,44
35,37,36,40
17,24,20,32
21,23,25,34
30,29,12,18
46,37,51,50
29,28,29,31
28,34,31,24
25,21,23,26
29,30,31,49
22,21,22,25
31,22,29,37
18,23,19,26
24,21,11,25
21,23,24,23
31,13,24,23
29,34,40,55
64,60,59,74
24,22,24,19
22,28,23,20
21,25,21,23
24,28,26,28
45,43,36,41
25,24,17,20
118,120,112,142
56,49,52,56
39,29,27,38
18,14,22,20
39,31,46,61
35,21,31,42
20,21,25,26
23,24,27,24
148,152,132,170
18,29,28,31
18,18,24,25
20,11,20,13
48,52,55,55
21,15,20,38
21,26,25,44
45,42,48,54
22,20,16,29
53,54,56,59
24,25,28,26
34,27,25,26
15,18,30,16
23,21,15,22
26,30,32,35
26,26,23,32
38,45,37,47
29,25,24,44
41,32,36,30
32,35,30,38
30,31,25,29
29,33,37,23
25,33,32,41
31,25,27,32
9,23,29,22
23,28,32,36
110,90,110,119
41,27,22,30
18,10,21,14
3434,3330,3471,4123
21,22,30,28
22,27,20,30
24,26,32,29
81,75,68,80
29,44,41,40
59,63,63,84
33,34,27,34
36,33,39,42
31,33,35,36
37,22,23,41
29,25,37,29
16,18,23,20
100,75,78,106
20,24,21,32
15,16,22,30
21,23,21,32
23,22,23,20
31,35,36,37
91,108,100,128
89,102,88,115
55,46,37,79
36,38,33,36
65,73,70,86
28,23,23,17
20,26,19,24
61,38,47,56
26,26,28,34
38,38,31,38
61,53,58,72
94,92,90,115
96,118,121,138
18,23,21,24
14,17,19,23
40,22,28,34
111,129,109,137
14,14,30,20
14,23,14,28
84,97,109,114
26,28,32,35
24,21,23,35
18,20,34,19
217,214,201,252
22,37,30,30
22,20,27,24
32,44,56,54
26,17,26,28
55,44,44,34
15,27,19,29
54,62,59,62
34,41,31,32
